Date and time,Energy | Symo 12.0-3 208-240 (1),PV production
[dd.MM.yyyy HH:mm],[Wh],[Wh]
01.01.2020 04:50,0,0.0
01.01.2020 04:55,0,0.0
01.01.2020 05:00,0,0.0
01.01.2020 05:05,0,0.0
01.01.2020 05:10,0,0.0
01.01.2020 05:15,0,0.0
01.01.2020 05:20,0.00031,0.0
01.01.2020 05:25,0.04608,0.05
01.01.2020 05:30,3.07611,3.08
01.01.2020 05:35,6.70861,6.71
01.01.2020 05:40,9.89115,9.89
01.01.2020 05:45,15.92301,15.92
01.01.2020 05:50,22.68369,22.68
01.01.2020 05:55,28.01187,28.01
01.01.2020 06:00,30.89541,30.9
01.01.2020 06:05,34.22820,34.23
01.01.2020 06:10,43.06684,43.07
01.01.2020 06:15,59.56788,59.57
01.01.2020 06:20,78.79093,78.79
01.01.2020 06:25,80.76490,80.76
01.01.2020 06:30,90.89424,90.89
01.01.2020 06:35,96.48798,96.49
01.01.2020 06:40,96.41749,96.42
01.01.2020 06:45,101.30255,101.3
01.01.2020 06:50,122.17412,122.17
01.01.2020 06:55,111.75386,111.75
01.01.2020 07:00,131.95364,131.95
01.01.2020 07:05,163.17544,163.18
01.01.2020 07:10,196.48262,196.48
01.01.2020 07:15,245.55189,245.55
01.01.2020 07:20,277.36728,277.37
01.01.2020 07:25,260.42069,260.42
01.01.2020 07:30,273.72875,273.73
01.01.2020 07:35,300.14748,300.15
01.01.2020 07:40,303.12252,303.12
01.01.2020 07:45,292.55314,292.55
01.01.2020 07:50,326.66512,326.67
01.01.2020 07:55,297.78091,297.78
01.01.2020 08:00,270.99433,270.99
01.01.2020 08:05,286.94095,286.94
01.01.2020 08:10,334.46124,334.46
01.01.2020 08:15,435.06071,435.06
01.01.2020 08:20,414.09543,414.1
01.01.2020 08:25,385.52346,385.52
01.01.2020 08:30,349.78426,349.78
01.01.2020 08:35,434.80546,434.81
01.01.2020 08:40,404.62968,404.63
01.01.2020 08:45,529.28477,529.28
01.01.2020 08:50,529.32792,529.33
01.01.2020 08:55,515.47986,515.48
01.01.2020 09:00,453.45997,453.46
01.01.2020 09:05,538.44205,538.44
01.01.2020 09:10,579.55215,579.55
01.01.2020 09:15,543.86638,543.87
01.01.2020 09:20,634.37362,634.37
